campaign,em_hypothesis,sw_hypothesis,count
C2,CPU,CPU,0
C2,CPU,Memory,0
C2,CPU,IO,0
C2,CPU,Clk,0
C2,Memory,CPU,0
C2,Memory,Memory,0
C2,Memory,IO,0
C2,Memory,Clk,0
C2,IO,CPU,0
C2,IO,Memory,1
C2,IO,IO,1
C2,IO,Clk,0
C2,Clk,CPU,0
C2,Clk,Memory,6
C2,Clk,IO,3
C2,Clk,Clk,0
C3,CPU,CPU,0
C3,CPU,Memory,0
C3,CPU,IO,0
C3,CPU,Clk,0
C3,Memory,CPU,0
C3,Memory,Memory,6
C3,Memory,IO,6
C3,Memory,Clk,0
C3,IO,CPU,0
C3,IO,Memory,4
C3,IO,IO,4
C3,IO,Clk,0
C3,Clk,CPU,0
C3,Clk,Memory,3
C3,Clk,IO,7
C3,Clk,Clk,0
picoc,CPU,CPU,0
picoc,CPU,Memory,20
picoc,CPU,IO,7
picoc,CPU,Clk,0
picoc,Memory,CPU,0
picoc,Memory,Memory,13
picoc,Memory,IO,4
picoc,Memory,Clk,0
picoc,IO,CPU,0
picoc,IO,Memory,5
picoc,IO,IO,1
picoc,IO,Clk,0
picoc,Clk,CPU,0
picoc,Clk,Memory,13
picoc,Clk,IO,6
picoc,Clk,Clk,0
